Business,Category,City,Phone,Address,Rating,Reviews,Web presence,Existing link,Score,Google Maps
Birrieria,Mexican restaurant,San Diego,(619) 255-1634,"1794 Newton Ave, San Diego, CA 92113",4.2,690,No website,,690.0,https://www.google.com/maps/place/?q=place_id:ChIJsbK2kaJT2YARm7nmLJ3H2Co
Airmaxx,HVAC contractor,El Cajon,(619) 655-3010,"1865 John Towers Ave # B, El Cajon, CA 92020",4.9,990,Social only,https://airmaxx.com/?utm_campaign=gmb,680.6,https://www.google.com/maps/place/?q=place_id:ChIJ5Wt_KB9Y2YARScyY6GWfgAw
Creekside Plaza,Shopping mall,Poway,(858) 486-6914,"13495 Poway Rd, Poway, CA 92064",4.4,673,No website,,673.0,https://www.google.com/maps/place/?q=place_id:ChIJRULF81P624ARyBowZ4-oLbU
Rosecrans Shopping Center,Shopping mall,San Diego,(858) 208-0002,"3555 Rosecrans St, San Diego, CA 92110",4.1,672,No website,,672.0,https://www.google.com/maps/place/?q=place_id:ChIJ2T7LpOOq3oARNqUnm4tjvY8
La Especial Norte,Mexican restaurant,Encinitas,(760) 942-1040,"664 N Coast Hwy 101, Encinitas, CA 92024",4.4,1220,Social only,https://m.facebook.com/profile.php?id=100049722472499,671.0,https://www.google.com/maps/place/?q=place_id:ChIJH1soPvcM3IARrah-YO8kumg
Que Tortas,Mexican restaurant,Escondido,(760) 489-1607,"1485 E Valley Pkwy Unit D, Escondido, CA 92027",4.5,529,No website,,661.2,https://www.google.com/maps/place/?q=place_id:ChIJNYbSjmnz24ARnEHrye5YPf4
Open Bar,Bar,San Diego,(858) 270-3221,"4302 Mission Blvd, San Diego, CA 92109",4.2,659,No website,,659.0,https://www.google.com/maps/place/?q=place_id:ChIJM5aslu0B3IARjNIo8QWNDEs
Señor Pancho Mexican Grill,Mexican restaurant,Oceanside,(760) 722-9602,"202 S Coast Hwy, Oceanside, CA 92054",4.3,648,No website,,648.0,https://www.google.com/maps/place/?q=place_id:ChIJ6VMVazpu3IAR1mXgFdpa49Y
Armando's Mexican Food,Mexican restaurant,Oceanside,(760) 967-9340,"1426 Mission Ave, Oceanside, CA 92058",4.4,646,No website,,646.0,https://www.google.com/maps/place/?q=place_id:ChIJTwIyji5u3IARpYJKOTv5JOo
Narumi Sushi,Japanese restaurant,La Mesa,(619) 461-1151,"9118 Fletcher Pkwy, La Mesa, CA 91942",4.5,937,Booking/3rd-party only,https://order.toasttab.com/online/narumi-sushi-9118-fletcher-pkwy,644.2,https://www.google.com/maps/place/?q=place_id:ChIJb4KlBHZX2YAR0tqQqWKtmXc
Cafe Elysa,Cafe,Carlsbad,(760) 434-4100,"3076 Carlsbad Blvd, Carlsbad, CA 92008",4.6,930,Social only,https://www.facebook.com/cafeelysa/,639.4,https://www.google.com/maps/place/?q=place_id:ChIJuSPXLQ5y3IARUJdJoYZIAXU
A chau,Vietnamese restaurant,San Diego,(619) 281-4066,"4644 El Cajon Blvd, San Diego, CA 92115",4.6,502,No website,,627.5,https://www.google.com/maps/place/?q=place_id:ChIJG-J9ezxU2YARO9jUdobzycY
The Weevil Burger Restaurant,Hamburger restaurant,La Mesa,(619) 644-1010,"9104 Fletcher Pkwy, La Mesa, CA 91942",4.4,625,No website,,625.0,https://www.google.com/maps/place/?q=place_id:ChIJa3rp-nVX2YARqNNrqJjU8Lg
Cloud 9 Smoke Shop,Smoke shop,Lakeside,(619) 390-7777,"9610 Winter Gdns Blvd Ste F, Lakeside, CA 92040",4.8,499,No website,,623.8,https://www.google.com/maps/place/?q=place_id:ChIJYwZvtHji24AR1an3ObQjaWw
Honey Donuts,Donut shop,Santee,(619) 258-5891,"10718 Woodside Ave, Santee, CA 92071",4.6,498,No website,,622.5,https://www.google.com/maps/place/?q=place_id:ChIJR9AV-QtY2YAR99N8iFXyDQc
Mariscos El Titanic,Seafood restaurant,San Diego,(619) 584-2894,"3600 Fairmount Ave, San Diego, CA 92105",4.1,620,No website,,620.0,https://www.google.com/maps/place/?q=place_id:ChIJC4jUYxNU2YARcKpA6S7L9Fg
Lucky Seafood Market,Asian grocery store,San Diego,(858) 586-7979,"9326 Mira Mesa Blvd, San Diego, CA 92126",4.1,1127,Social only,https://www.facebook.com/profile.php?id=100085101783013,619.9,https://www.google.com/maps/place/?q=place_id:ChIJ13IGpR3524ARbN7zNQ3DBkg
Cazadores Mexican food by Cotija's,Mexican restaurant,San Diego,(858) 538-5543,"9335 Paseo Montalban, San Diego, CA 92129",4,619,No website,,619.0,https://www.google.com/maps/place/?q=place_id:ChIJa2dnt8z524ARq15_cWZCRtM
Gus's Subs & Pizza Place,Sandwich shop,La Mesa,(619) 462-4877,"5620 Baltimore Dr, La Mesa, CA 91942",4.5,894,Social only,https://m.facebook.com/Guss-Subs-Pizza-2-121436837866847/,614.6,https://www.google.com/maps/place/?q=place_id:ChIJiclODv5W2YAR6MN1r0gmgKk
Easy Breezy Smog,Smog inspection station,Imperial Beach,(619) 424-8120,"1240 Palm Ave, Imperial Beach, CA 91932",5,486,No website,,607.5,https://www.google.com/maps/place/?q=place_id:ChIJBXqaw29N2YAR-T_ep7GS8Fs
El Parque,Mexican restaurant,Fallbrook,(760) 731-2775,"2659 Reche Rd, Fallbrook, CA 92028",4.2,602,No website,,602.0,https://www.google.com/maps/place/?q=place_id:ChIJlV8Ipc943IARQ8cfPe9UyYE
Kojack's Restaurant,Greek restaurant,San Diego,(858) 488-5647,"714 Ventura Pl, San Diego, CA 92109",4.6,481,No website,,601.2,https://www.google.com/maps/place/?q=place_id:ChIJV0e3Lgmq3oARv_Am7L4c_TA
El Nuevo Milenio,Mexican restaurant,National City,(619) 262-1306,"2323 Division St, National City, CA 91950",4.2,600,No website,,600.0,https://www.google.com/maps/place/?q=place_id:ChIJ3R2qtixS2YARk8ddxqOIsEA
Franks Mexican Grill,Mexican restaurant,Vista,(760) 758-5980,"122 W California Ave, Vista, CA 92083",4.5,479,No website,,598.8,https://www.google.com/maps/place/?q=place_id:ChIJmap0E7123IAR_03k7EBucP0
Al Pancho's Mexican Restaurant,Mexican restaurant,Alpine,(619) 659-8987,"2139 Alpine Blvd, Alpine, CA 91901",4.5,479,No website,,598.8,https://www.google.com/maps/place/?q=place_id:ChIJx3N7xO1g2YARYGxwstfoi7s
PRIMO TIRE,Tire shop,Chula Vista,(619) 707-3522,"2864 Main St, Chula Vista, CA 91911",4.9,478,No website,,597.5,https://www.google.com/maps/place/?q=place_id:ChIJO9kcpSZP2YARsCzZKFqgKhY
Golden Hill Smoke Shop & Cigars,Smoke shop,San Diego,(619) 677-4357,"1036 25th St, San Diego, CA 92102",5,477,No website,,596.2,https://www.google.com/maps/place/?q=place_id:ChIJu9ZVlEZT2YARaPKpchi09n0
Huapangos,Mexican restaurant,San Diego,(619) 546-5934,"3693 Fifth Ave, San Diego, CA 92103",4.1,592,No website,,592.0,https://www.google.com/maps/place/?q=place_id:ChIJ27DiP8VU2YARj6Lz8sNX1bk
El Camaron Escondido,Mexican restaurant,Escondido,(760) 480-5508,"126 S Kalmia St, Escondido, CA 92025",3.9,591,No website,,591.0,https://www.google.com/maps/place/?q=place_id:ChIJo18wcWLz24ARV734Yu4ttRw
Marcy's Mexican Food,Mexican restaurant,San Diego,(858) 488-8203,"756 Ventura Pl, San Diego, CA 92109",4.3,588,No website,,588.0,https://www.google.com/maps/place/?q=place_id:ChIJYTToNQmq3oARAUldOmlPWrA
Sunny Day People,Hair salon,San Diego,(858) 560-9777,"4688 Convoy St #108, San Diego, CA 92111",4.7,469,No website,,586.2,https://www.google.com/maps/place/?q=place_id:ChIJ_webo5b_24AR7iNK_rZqtq0
VanDough French Bakery,Bakery,Vista,(760) 945-9797,"1223 E Vista Way, Vista, CA 92084",4.2,586,No website,,586.0,https://www.google.com/maps/place/?q=place_id:ChIJJS4EC4t23IARLLaLsouVEtE
Birrieria y menuderia Guadalajara,Mexican restaurant,Chula Vista,(619) 947-6565,"2945 Main St Ste 175, Chula Vista, CA 91911",4.6,467,No website,,583.8,https://www.google.com/maps/place/?q=place_id:ChIJuy1f47dP2YARqpqRW_CG3nY
Hilberto's Mexican Food,Mexican restaurant,National City,(619) 475-3308,"836 Euclid Ave, National City, CA 91950",4.2,580,No website,,580.0,https://www.google.com/maps/place/?q=place_id:ChIJ9_779ChS2YARtt1dMprzDwA
